,grid_id_old,grid_id
3143,"(143, 207)","(52, 27)"
3147,"(145, 209)","(54, 29)"
3173,"(142, 185)","(51, 5)"
3174,"(141, 186)","(50, 5)"
3176,"(141, 185)","(51, 5)"
3178,"(142, 185)","(51, 5)"
3181,"(141, 185)","(51, 5)"
3190,"(98, 183)","(7, 2)"
3192,"(102, 183)","(12, 3)"
3194,"(102, 183)","(12, 3)"
3196,"(74, 115)","(-17, -66)"
3208,"(73, 114)","(-17, -66)"
3210,"(74, 115)","(-17, -66)"
3211,"(134, 198)","(43, 18)"
3219,"(134, 198)","(44, 18)"
3294,"(135, 198)","(45, 17)"
3302,"(67, 207)","(-23, 26)"
3305,"(69, 209)","(-22, 28)"
3309,"(71, 138)","(-19, -43)"
3312,"(68, 138)","(-22, -43)"
3313,"(68, 136)","(-23, -44)"
3316,"(87, 142)","(-4, -39)"
3317,"(68, 136)","(-23, -44)"
3320,"(82, 145)","(-8, -35)"
3323,"(61, 129)","(-29, -51)"
3328,"(72, 140)","(-19, -41)"
3329,"(68, 137)","(-23, -43)"
3334,"(71, 137)","(-20, -44)"
3341,"(71, 137)","(-20, -44)"
3348,"(68, 137)","(-23, -43)"
3353,"(61, 131)","(-29, -50)"
3354,"(69, 130)","(-21, -51)"
3359,"(82, 145)","(-8, -35)"
3362,"(91, 127)","(0, -54)"
3366,"(68, 138)","(-22, -43)"
3369,"(66, 132)","(-25, -48)"
3379,"(64, 131)","(-27, -49)"
3387,"(68, 136)","(-23, -44)"
3390,"(68, 137)","(-23, -43)"
3394,"(68, 137)","(-23, -43)"
3396,"(68, 138)","(-22, -43)"
3398,"(61, 130)","(-30, -51)"
3403,"(65, 129)","(-25, -52)"
3430,"(133, 204)","(42, 24)"
3435,"(133, 205)","(43, 24)"
3439,"(134, 204)","(43, 24)"
3443,"(133, 206)","(42, 26)"
3445,"(104, 179)","(13, -2)"
3475,"(104, 179)","(13, -2)"
3484,"(101, 177)","(11, -3)"
3500,"(86, 211)","(-4, 30)"
3502,"(87, 210)","(-4, 29)"
3506,"(87, 210)","(-3, 29)"
3509,"(87, 210)","(-3, 29)"
3514,"(101, 285)","(11, 104)"
3518,"(101, 195)","(11, 14)"
3520,"(101, 195)","(11, 14)"
3523,"(101, 195)","(11, 14)"
3531,"(136, 107)","(45, -74)"
3532,"(133, 99)","(43, -81)"
3534,"(137, 105)","(47, -76)"
3540,"(136, 107)","(45, -73)"
3541,"(140, 62)","(49, -118)"
3544,"(136, 105)","(45, -76)"
3549,"(136, 105)","(45, -76)"
3553,"(97, 197)","(6, 16)"
3555,"(98, 199)","(7, 18)"
3559,"(95, 197)","(5, 16)"
3561,"(100, 196)","(9, 16)"
3562,"(55, 108)","(-36, -72)"
3566,"(59, 109)","(-32, -71)"
3569,"(72, 111)","(-19, -70)"
3571,"(57, 110)","(-33, -71)"
3573,"(48, 107)","(-43, -74)"
3579,"(72, 111)","(-19, -70)"
3580,"(64, 111)","(-26, -69)"
3582,"(97, 105)","(6, -76)"
3585,"(101, 106)","(11, -75)"
3587,"(95, 106)","(5, -75)"
3621,"(96, 103)","(5, -77)"
3627,"(98, 107)","(7, -73)"
3632,"(92, 103)","(1, -78)"
3635,"(99, 105)","(8, -75)"
3645,"(93, 103)","(2, -78)"
3647,"(101, 106)","(10, -75)"
3651,"(92, 102)","(2, -78)"
3656,"(99, 105)","(9, -75)"
3661,"(102, 108)","(11, -72)"
3663,"(96, 104)","(5, -76)"
3665,"(98, 108)","(8, -73)"
3667,"(101, 97)","(10, -83)"
3670,"(100, 95)","(10, -85)"
3671,"(101, 97)","(10, -83)"
3674,"(101, 97)","(10, -83)"
3676,"(100, 96)","(9, -84)"
3678,"(100, 97)","(10, -84)"
3693,"(101, 96)","(10, -85)"
3713,"(101, 96)","(10, -85)"
3734,"(101, 95)","(10, -86)"
3735,"(101, 95)","(11, -85)"
3747,"(101, 96)","(10, -84)"
3759,"(101, 95)","(11, -85)"
3760,"(101, 96)","(10, -85)"
3776,"(101, 97)","(10, -84)"
3779,"(133, 198)","(43, 18)"
3781,"(135, 196)","(45, 15)"
3785,"(136, 198)","(46, 18)"
3793,"(134, 198)","(43, 18)"
3821,"(136, 197)","(45, 17)"
3827,"(112, 103)","(21, -77)"
3831,"(111, 104)","(20, -77)"
3836,"(139, 197)","(49, 16)"
3845,"(87, 102)","(-4, -79)"
3846,"(90, 103)","(-1, -78)"
3848,"(87, 102)","(-4, -79)"
3854,"(89, 101)","(-2, -80)"
3875,"(114, 215)","(23, 34)"
3876,"(120, 215)","(29, 34)"
3882,"(104, 91)","(14, -89)"
3883,"(104, 91)","(14, -90)"
3887,"(104, 91)","(14, -89)"
3894,"(104, 91)","(14, -90)"
3896,"(105, 219)","(15, 38)"
3897,"(100, 220)","(10, 39)"
3899,"(96, 223)","(5, 42)"
3901,"(96, 223)","(5, 42)"
3923,"(99, 224)","(8, 44)"
3927,"(74, 359)","(-17, 179)"
3928,"(71, 359)","(-19, 178)"
3929,"(73, 359)","(-18, 178)"
3933,"(74, 359)","(-17, 179)"
3935,"(73, 358)","(-18, 178)"
3937,"(73, 358)","(-18, 178)"
3940,"(74, 359)","(-17, 179)"
3943,"(73, 358)","(-18, 178)"
3945,"(73, 358)","(-18, 178)"
3949,"(73, 358)","(-18, 178)"
3952,"(135, 180)","(45, -1)"
3954,"(135, 185)","(45, 4)"
3956,"(134, 183)","(43, 2)"
3958,"(134, 184)","(44, 3)"
3960,"(134, 184)","(44, 3)"
3961,"(134, 183)","(43, 2)"
3965,"(134, 182)","(43, 1)"
3967,"(140, 184)","(50, 4)"
3968,"(140, 180)","(49, 0)"
3974,"(136, 182)","(45, 2)"
3975,"(135, 186)","(45, 5)"
3977,"(134, 180)","(44, -1)"
3979,"(134, 185)","(44, 4)"
3981,"(140, 180)","(49, 0)"
3986,"(134, 187)","(43, 6)"
3988,"(140, 184)","(50, 4)"
3996,"(136, 180)","(46, -1)"
4000,"(134, 186)","(44, 5)"
4004,"(134, 185)","(44, 4)"
4006,"(138, 187)","(47, 6)"
4008,"(134, 183)","(43, 2)"
4032,"(136, 180)","(46, -1)"
4059,"(140, 184)","(50, 4)"
